Geneid	RNA_1196Y_1	RNA_1196Y_2	RNA_1199Y_1	RNA_1199Y_2	1196Y_1	1196Y_2	1199Y_1	1199Y_2
Os01g0100100	852	1035	843	909	60	135	240	151
Os01g0100200	0	1	0	1	0	0	0	0
Os01g0100300	0	0	0	0	0	0	0	0
Os01g0100400	77	62	39	54	45	40	16	86
Os01g0100466	0	0	0	0	0	0	0	0
Os01g0100500	727	841	653	569	323	425	581	537
Os01g0100600	517	590	558	459	82	11	118	37
Os01g0100650	0	0	0	0	0	0	0	0
Os01g0100700	851	1193	1237	1068	204	150	401	65
Os01g0100800	415	483	318	364	117	93	76	25
Os01g0100900	1137	1309	904	898	1238	1406	1520	915
Os01g0101150	178	237	108	110	109	78	127	148
Os01g0101200	1673	1273	2255	2542	424	390	1014	412
Os01g0101300	32	28	28	27	17	8	6	1
Os01g0101600	2145	2529	2182	2178	823	1023	1068	775
Os01g0101700	184	284	286	150	2	0	121	55
Os01g0101800	0	0	1	0	2	0	0	2
Os01g0101850	0	0	0	0	0	0	0	0
Os01g0101900	0	0	0	0	0	0	0	0
Os01g0102000	0	3	0	0	0	0	2	0
Os01g0102300	1797	1745	1426	1602	94	115	140	164
Os01g0102400	34	35	13	49	0	36	0	0
Os01g0102500	147	183	230	245	43	130	90	99
Os01g0102600	3542	4454	3648	2942	1741	1326	2970	1523
Os01g0102700	537	647	384	416	54	42	21	52
Os01g0102800	170	240	277	345	40	124	137	148
Os01g0102850	645	568	553	410	0	0	0	0
Os01g0102900	184879	129308	186256	194559	50847	59530	124473	98513
Os01g0103000	497	337	376	520	64	155	127	220
Os01g0103100	5	5	3	2	0	0	0	0
Os01g0103075	0	0	0	0	0	0	0	0
ENSRNA049442722	0	0	0	0	0	0	0	0
Os01g0103400	142	143	104	78	123	0	71	40
Os01g0103600	593	722	370	398	47	78	84	78
Os01g0103650	0	0	0	0	0	0	0	0
Os01g0103700	216	234	86	120	0	0	0	6
Os01g0103800	448	448	238	266	59	40	92	67
Os01g0103900	6	0	6	6	2	0	2	1
Os01g0104000	469	441	390	467	203	229	252	282
Os01g0104100	1968	2252	1972	1841	167	182	404	417
Os01g0104200	5	9	2	2	0	0	16	17
Os01g0104400	3817	4312	3520	3338	1100	803	1009	826
Os01g0104500	0	0	0	0	0	0	0	0
Os01g0104600	643	912	780	676	19	23	133	63
Os01g0104800	911	1359	1014	815	610	573	889	652
Os01g0104900	15	19	19	66	0	0	6	18
Os01g0105300	0	3	0	0	0	0	0	0
Os01g0105400	60	37	16	43	0	0	0	0
Os01g0105700	4	2	3	3	0	2	0	2
Os01g0105800	84	93	51	65	17	17	11	6
Os01g0105900	805	754	907	1154	173	189	637	462
Os01g0106200	660	720	452	408	286	342	292	56
Os01g0106300	2	0	0	0	0	2	4	0
Os01g0106400	23	35	34	13	44	0	0	58
Os01g0106500	243	244	315	291	29	18	101	81
Os01g0106600	5	4	14	13	0	0	16	0
Os01g0106700	2557	2909	2126	2080	177	124	451	349
Os01g0106800	987	1120	803	779	288	311	272	247
Os01g0106900	3858	3914	5101	4440	2789	2502	5234	4055
Os01g0107000	1069	1269	897	896	358	402	519	386
Os01g0107400	75	69	47	124	0	13	10	20
Os01g0107700	2	6	6	6	0	0	0	0
Os01g0107750	0	0	0	0	0	0	0	0
Os01g0107900	3466	4617	4344	3691	2550	3000	4031	2930
Os01g0108000	641	858	633	597	280	298	592	223
Os01g0108200	1160	1312	861	907	517	378	525	466
Os01g0108400	113	246	10	14	274	62	26	0
Os01g0108500	1	33	0	0	0	0	0	0
Os01g0108600	440	347	217	354	33	133	46	17
Os01g0108700	0	0	0	0	0	0	0	0
Os01g0108800	26	11	18	42	0	0	21	11
Os01g0109000	314	245	211	249	0	0	0	0
Os01g0109201	0	1	0	0	0	0	0	0
Os01g0109300	0	0	0	0	0	0	0	0
Os01g0109366	0	0	0	0	0	0	0	0
Os01g0109432	0	1	5	3	0	0	0	0
Os01g0109500	10	14	12	2	36	0	0	0
Os01g0109700	3551	4195	3118	3285	1665	2178	2691	2451
Os01g0109750	123	167	184	206	21	7	70	0
Os01g0110050	15	17	9	10	0	0	0	7
Os01g0110100	138	147	190	126	50	196	151	75
Os01g0110200	0	7	0	0	18	0	0	0
Os01g0110400	241	286	173	173	158	139	119	135
Os01g0110500	62	63	44	28	14	4	74	0
Os01g0110600	0	0	0	0	0	0	0	0
Os01g0110700	20	28	19	47	0	41	10	37
Os01g0110800	28	33	12	9	27	28	0	0
Os01g0111000	1	1	0	1	0	0	0	0
Os01g0111100	1278	834	1161	1469	331	236	304	231
Os01g0111200	1375	1407	1199	1147	273	370	635	425
Os01g0111300	27	25	22	25	0	0	10	0
Os01g0111400	222	211	223	271	97	110	218	107
Os01g0111500	0	0	0	0	0	0	0	0
