GeneID	RNA.WT1	RNA.WT2	RNA.KO1	RNA.KO2	RPF.WT1	RPF.WT2	RPF.KO1	RPF.KO2
ENSG00000000003	2279	2207	1818	2178				
ENSG00000000005	0	0	0	0	0	0	0	0
ENSG00000000419	871	857	890	1173	2048	5509	4417	9071
ENSG00000000457	107	101	120	137	66	123	79	137
ENSG00000000460	576	508	477	602	1237	2731	891	1719
ENSG00000000938	0	0	0	0	0	0	0	0
ENSG00000000971	0	0	0	0	4	4	65	125
ENSG00000001036	3403	3232	2925	3662	5681	14664	8116	17567
ENSG00000001084	926	823	1105	1436	602	1244	1661	2543
ENSG00000001167	588	542	569	722	73	104	78	82
ENSG00000001460	93	99	73	124	11	29	34	36
ENSG00000001461	165	205	122	167	82	136	83	168
ENSG00000001497	5727	6126	4481	5283	3288	6977	1468	3143
ENSG00000001561	170	161	230	356	1020	2341	1290	2641
ENSG00000001617	72	64	61	91	14	11	4	11
ENSG00000001626	0	0	1	1	13	41	17	16
ENSG00000001629	733	752	770	947	198	497	403	656
ENSG00000001630	557	506	319	390	1655	3358	3635	5464
ENSG00000001631	63	53	76	75	10	24	17	24
ENSG00000002016	233	197	158	208	137	283	177	204
ENSG00000002079	5	2	2	3				
ENSG00000002330	438	473	378	468	32	32	19	14
ENSG00000002549	1154	1191	845	1086	335	700	599	976
ENSG00000002586	1749	1760	1560	1902	1065	2042	919	1892
ENSG00000002586.20_PAR_Y	0	0	0	0	0	0	0	0
ENSG00000002587	0	0	0	0	0	0	0	0
ENSG00000002726	0	0	0	0	0	0	0	0
ENSG00000002745	0	1	0	2	0	0	0	0
ENSG00000002746	3	0	0	1	0	0	0	4
ENSG00000002822	12	12	14	17	192	242	138	222
ENSG00000002834	7901	8238	6122	7194	633	958	1067	1663
ENSG00000002919	636	660	507	578	41	70	61	64
ENSG00000002933	0	0	0	0	0	0	0	0
ENSG00000003056	3788	3806	3321	3833	2324	4373	1936	3151
ENSG00000003096	50	36	4	25	26	64	22	39
ENSG00000003137	219	179	222	329	11	17	5	13
ENSG00000003147	11	22	4	17	10	14	23	43
ENSG00000003249	712	714	468	635	20	9	3	5
ENSG00000003393	572	449	637	764	169	436	283	611
ENSG00000003400	92	88	29	33	44	72	66	140
ENSG00000003402	1575	1334	1258	1606	216	440	370	693
ENSG00000003436	393	417	324	421	3499	8669	3982	7542
ENSG00000003509	281	254	277	327	240	565	376	479
ENSG00000003756	758	768	722	937	1245	2363	697	954
ENSG00000003987	15	13	10	5	0	1	1	0
ENSG00000003989	2179	2171	1163	1401	4059	9154	6072	11176
ENSG00000004059	1959	2204	1368	1489	1502	2503	1173	1873
ENSG00000004139	809	809	778	959	61	92	44	53
ENSG00000004142	6311	6922	5390	5954	1121	1860	3183	2919
ENSG00000004399	3284	3185	3299	3674	262	343	264	396
ENSG00000004455	2795	2939	2250	2547	264	412	843	1018
ENSG00000004468	1	0	2	3	0	0	0	0
ENSG00000004478	5457	5959	4107	4926	1058	2279	1778	3188
ENSG00000004487	1652	1712	1410	1523	398	1064	1101	1798
ENSG00000004534	912	933	852	1099	194	481	573	903
ENSG00000004660	39	23	40	39	6	17	12	17
ENSG00000004700	413	393	486	656	694	1438	1733	2803
ENSG00000004766	145	145	187	247	334	908	820	1297
ENSG00000004776	15	7	4	9	0	0	0	0
ENSG00000004777	215	205	222	288	3	3	3	2
ENSG00000004779	1890	2242	1850	2098	2085	4220	5466	8514
ENSG00000004799	149	144	450	622	53	88	146	170
ENSG00000004809	0	0	0	0	0	0	1	0
ENSG00000004838	18	21	13	13	0	0	0	1
ENSG00000004846	0	1	1	2	1	3	2	1
ENSG00000004848	0	1	1	0	0	0	0	0
ENSG00000004864	2866	2843	2361	2622	950	2029	1610	2185
ENSG00000004866	765	837	495	600	642	1220	902	970
ENSG00000004897	1401	1352	1605	1979	192	447	560	871
ENSG00000004939	1	0	0	0	0	0	0	1
ENSG00000004948	0	0	0	0	0	0	0	0
ENSG00000004961	744	720	634	774	336	784	509	1133
ENSG00000004975	892	926	685	925	69	75	63	83
ENSG00000005001	0	0	0	0	0	0	1	0
ENSG00000005007	5708	5727	4372	4890	385	520	205	315
ENSG00000005020	1128	1265	1008	1266	378	866	993	1982
ENSG00000005022	8706	9493	6773	7812	2593	4124	4812	4952
ENSG00000005059	494	585	548	628	187	402	363	578
ENSG00000005073	10	13	8	12	0	4	11	1
ENSG00000005075	799	832	570	611	24	87	122	181
ENSG00000005100	1332	1382	1242	1436	237	408	492	690
ENSG00000005102	0	0	0	0	0	0	0	0
ENSG00000005108	0	0	0	0	0	2	0	0
ENSG00000005156	702	721	693	754	143	235	206	313
ENSG00000005175	355	292	409	551	491	1015	1153	2310
ENSG00000005187	2	7	1	2	1	7	8	9
ENSG00000005189	240	194	181	219	141	224	199	245
ENSG00000005194	2317	2662	1957	2199	202	356	216	360
ENSG00000005206	774	646	478	632	342	456	149	228
ENSG00000005238	213	220	188	235	4	2	3	6
ENSG00000005243	0	1	0	0	1	0	0	0
ENSG00000005249	2	5	0	3	1	5	0	3
ENSG00000005302	236	282	293	387	15	44	33	47
ENSG00000005339	1731	1797	1857	2236	295	589	273	556
ENSG00000005379	0	0	0	0	0	0	0	0
ENSG00000005381	0	0	1	0	0	0	0	0
ENSG00000005421	2	0	6	0	2	5	3	7
ENSG00000005436	316	292	317	423	244	567	961	1571
ENSG00000005448	299	323	193	253	326	465	238	363
ENSG00000005469	254	235	174	207	95	262	277	341
ENSG00000005471	0	0	0	0	0	1	0	5
ENSG00000005483	780	879	893	1060	114	488	300	475
ENSG00000005486	1194	1381	1093	1162	130	153	71	108
ENSG00000005513	2	2	5	0	0	0	0	0
ENSG00000005700	1224	1080	1523	2017	706	1638	2157	3901
ENSG00000005801	227	185	318	400	354	653	358	552
ENSG00000005810	538	528	566	712	139	313	227	564
ENSG00000005812	203	151	154	275	46	186	190	269
ENSG00000005844	104	122	81	78	80	169	140	192
ENSG00000005882	329	374	287	333	92	137	46	76
ENSG00000005884	239	239	236	260	47	112	54	98
ENSG00000005889	451	360	418	547	357	768	436	591
ENSG00000005893	2152	2123	2343	2860	5295	11577	6319	13041
ENSG00000005961	2	5	12	4	1	3	5	7
ENSG00000005981	6	0	0	0	0	3	0	1
ENSG00000006007	1630	1589	1360	1565	1914	4579	2919	4406
ENSG00000006015	635	628	441	523	28	48	9	29
ENSG00000006016	7	7	10	9	0	4	3	0
ENSG00000006025	1	0	2	2	0	0	0	0
ENSG00000006042	314	309	249	229	154	223	10	21
ENSG00000006047	21	29	10	11	0	1	1	0
ENSG00000006059	0	0	0	0	0	0	0	0
ENSG00000006062	720	726	698	860	39	56	31	58
ENSG00000006071	0	0	0	0	0	1	1	1
ENSG00000006116	0	0	0	0	0	0	0	0
ENSG00000006118	1150	1266	1046	1253	160	205	56	83
ENSG00000006125	4199	4655	4124	4648	637	1445	1129	2028
ENSG00000006128	0	0	0	0	0	3	0	1
ENSG00000006194	1009	1026	832	949	59	93	57	104
ENSG00000006210	123	109	119	98	71	82	25	46
ENSG00000006282	186	139	131	188	8	19	12	17
ENSG00000006283	25	21	33	32	1	2	1	2
ENSG00000006327	7024	7046	4743	5982	1128	1093	327	483
ENSG00000006377	0	0	0	0	0	0	0	0
ENSG00000006432	944	931	888	913	9	17	14	36
ENSG00000006451	948	937	846	1125	1147	1893	1522	2420
ENSG00000006453	2144	2186	1773	2077	766	1473	1117	2444
ENSG00000006459	175	132	173	231	49	87	104	178
ENSG00000006468	254	289	255	335	65	93	191	231
ENSG00000006530	488	428	305	392	212	416	364	532
ENSG00000006534	79	86	46	83	2	1	1	2
ENSG00000006555	0	0	0	0	0	0	0	0
ENSG00000006576	678	553	654	796	861	1868	1332	1900
ENSG00000006606	0	4	0	1	0	1	1	1
ENSG00000006607	536	490	779	819	82	163	209	376
ENSG00000006611	1	2	6	1	0	2	0	0
ENSG00000006625	737	659	608	764	221	234	89	104
ENSG00000006634	342	265	293	395	68	151	288	370
ENSG00000006638	0	1	0	0	0	0	0	0
ENSG00000006652	827	834	970	1209	339	658	885	1299
ENSG00000006659	0	0	0	0	1	0	3	0
ENSG00000006695	534	573	504	593	133	328	327	461
ENSG00000006704	519	483	416	506	43	55	60	73
ENSG00000006712	1802	1931	1323	1666	557	1118	786	1269
ENSG00000006715	1138	1165	1368	1938	593	1558	1171	1806
ENSG00000006740	10	6	8	7	0	0	0	2
ENSG00000006744	2690	2911	2241	2413	181	433	369	599
ENSG00000006747	7	3	4	1	3	3	3	6
ENSG00000006756	0	0	0	0	0	0	0	1
ENSG00000006757	0	0	0	0	0	0	0	0
ENSG00000006788	0	0	0	0	0	3	1	0
ENSG00000006831	3062	3115	2960	3510	1054	1912	1494	2494
ENSG00000006837	12	4	6	9	4	9	9	20
ENSG00000007001	1	0	0	0	0	1	0	0
ENSG00000007038	0	0	0	0	0	0	0	0
ENSG00000007047	1036	1063	932	1119	54	96	68	109
ENSG00000007062	884	937	711	907	3302	6959	2430	3565
ENSG00000007080	1939	1912	1293	1769	299	233	109	167
ENSG00000007129	0	0	0	0	0	1	1	0
ENSG00000007168	1651	1706	1703	2062	1102	2565	2741	4235
ENSG00000007171	0	0	1	0	0	0	0	0
ENSG00000007174	0	0	0	0	0	1	1	0
ENSG00000007202	5769	6028	5222	5480	1034	1592	868	1768
ENSG00000007216	2	0	0	0	0	1	0	0
ENSG00000007237	15	3	0	0	0	0	4	1
