GeneID	RNA.WT1	RNA.WT2	RNA.KO1	RNA.KO2	RPF.WT1	RPF.WT2	RPF.KO1	RPF.KO2
ENSMUSG00000000001	33	10	15	5	4	7	3	1
ENSMUSG00000000003	69	46	67	141	10	8	7	16
ENSMUSG00000000028	114	88	118	47	5	9	10	16
ENSMUSG00000000031	18	18	25	17	0	4	3	4
ENSMUSG00000000037	97	58	88	90	8	14	10	14
ENSMUSG00000000049	18	12	35	21	2	5	4	9
ENSMUSG00000000056	160	189	287	161	55	63	33	70
ENSMUSG00000000058	116	104	87	68	14	18	23	17
ENSMUSG00000000078	32	25	25	17	2	2	4	2
ENSMUSG00000000085	65	67	84	70	15	18	9	8
ENSMUSG00000000088	172	165	206	187	32	17	53	35
ENSMUSG00000000093	34	33	37	32	4	1	3	3
ENSMUSG00000000094	123	239	278	195	18	37	72	55
ENSMUSG00000000103	19	37	58	30	6	9	18	14
ENSMUSG00000000120	234	125	284	167	59	56	145	93
ENSMUSG00000000125	35	24	39	32	6	2	6	3
ENSMUSG00000000126	49	55	32	52	1	4	0	1
ENSMUSG00000000127	72	58	46	39	13	9	5	3
ENSMUSG00000000131	666	587	201	186	73	43	17	33
ENSMUSG00000000134	268	408	381	294	38	75	127	241
ENSMUSG00000000142	14	25	29	27	5	2	3	6
ENSMUSG00000000148	872	1679	1413	2138	268	181	178	190
ENSMUSG00000000149	51	25	27	34	3	7	7	4
ENSMUSG00000000154	125	65	171	159	2	13	8	21
ENSMUSG00000000157	191	199	136	119	10	15	6	6
ENSMUSG00000000159	122	87	142	122	15	18	2	9
ENSMUSG00000000167	102	96	59	70	10	25	26	13
ENSMUSG00000000168	108	53	62	120	13	17	17	8
ENSMUSG00000000171	77	56	92	136	11	12	15	19
ENSMUSG00000000182	76	71	85	63	5	12	5	5
ENSMUSG00000000183	185	285	191	226	13	14	8	17
ENSMUSG00000000184	9	29	34	25	1	4	2	4
ENSMUSG00000000194	3086	3359	3378	4520	247	136	162	149
ENSMUSG00000000197	171	124	234	142	75	85	43	74
